"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
6,1,3898.565186,7940.5857569,365.2622331,119157.4733547,1143.7938286,204.2766094,94.7305154,9.0876437
12,1,5245.4228446,7708.3092414,118.6387162,23647.2361819,3673.5050238,288.9119948,133.1330784,7.4168314
15,1,5563.9483741,15096.6574061,126.3058312,26337.0336297,2747.6042101,296.5429477,189.3105762,7.6610202
20,1,6462.0691907,16334.7143698,87.7473823,7858.71466,2519.3163034,129.4950485,43.7179423,5.9847086
27,1,7217.6505643,8276.3862972,277.2461662,58363.0822492,2112.0552573,189.4674884,77.6606982,9.9873361
36,1,8415.0798704,12810.715592,110.6675999,10512.0620925,2976.2262942,166.0668697,56.9122788,8.501223
49,1,10082.212729,4966.6624896,136.5382578,33653.6509682,2806.6672968,236.012082,101.9572092,5.5507582
55,1,11002.3941774,9211.5741991,141.7109992,33391.7946272,3168.6805678,245.1345862,98.1257928,6.2135837
56,1,11052.2564089,12924.2945543,127.5407969,23125.4398144,2732.2155783,252.0792322,140.9624537,7.564736
63,1,11536.8522234,8394.2052194,131.9149426,30774.6204825,3200.028069,195.1373811,62.6931871,4.7404181
78,1,14423.226797,4795.065429,126.0045247,13829.4852081,2619.7515705,191.5471277,89.0239129,9.4062563
81,1,14571.9369132,10362.8590542,170.1665054,111382.738086,2834.4615367,565.8872235,354.2864448,6.0297237
87,1,15432.2123751,11422.5919162,112.2927666,13959.0658204,2926.5186509,251.8937829,136.8185426,9.9020276
92,1,15826.5894378,11882.8792846,534.67197,319723.0715468,398.2960348,213.0087128,98.9932004,7.5396206
94,1,16061.2653215,16323.9401165,224.1247031,50823.5953749,2961.0401086,225.5122362,81.7586553,8.9976673
103,1,17997.794239,3940.1972154,491.4716112,250155.285068,132.1388236,173.1418193,83.1007613,6.6594665
109,1,18527.8680556,14584.7370738,133.7477483,32859.0849102,2922.7279064,249.224689,107.2360331,5.768657
114,1,19231.7641672,10144.3683197,610.2873804,367745.5286856,963.9417754,196.3259284,80.3867784,7.8667935
129,1,25128.7323052,7039.7025752,113.1815143,8918.4841882,1614.1274396,139.1563522,70.1892011,8.7643392
142,2,5255.9178283,7705.579176,129.2991646,28742.4974151,3486.1897695,308.964597,157.7388107,7.6339355
146,2,5561.2380458,15127.4131622,152.3307463,34261.5731927,2317.8486503,267.7340731,146.5838988,7.5494713
155,2,7306.211042,4675.3321353,413.2138298,209658.2193975,581.1628194,181.2905962,72.0499392,5.9036882
176,2,10099.270307,4983.6634742,119.8606165,27873.8693622,2851.9077646,177.6459512,59.5649258,4.0225976
180,2,10999.1217742,9195.7961312,137.3685268,31036.9179803,3047.2032626,280.7145636,128.5990603,7.1977551
181,2,11039.8003548,12921.6134098,130.4341765,22220.9395596,2654.681683,250.3631195,129.8996018,8.1436273
184,2,11431.9654692,3111.4889423,117.1367911,9625.3235922,2780.18491,140.6868516,44.3931886,8.7356689
186,2,11534.2837395,8402.5961923,133.7384462,37882.7950158,3174.5780423,298.6975888,132.7262793,5.9784472
188,2,11681.5592624,14186.3552889,415.7729133,184012.4210629,963.0079774,257.4355289,130.9014579,9.5587654
190,2,11963.5544155,15609.2733583,287.4119229,69322.7631785,1440.8455242,210.0006002,103.3465206,9.991919
205,2,14428.8110302,4901.5674556,138.1978529,17484.4035829,2451.5322355,215.0705119,109.9702162,9.894091
207,2,14572.4073226,10365.9357289,169.1012616,111240.466819,2930.5463267,638.5206044,435.3042934,6.7223666
211,2,15104.4575072,7350.7462021,16.5750861,1547.6800269,3201.8567653,236.6508217,120.9724555,9.9652591
228,2,17444.990947,12879.5235918,434.2738213,139580.3053642,1323.2838925,184.3875406,75.7560837,9.8712418
231,2,18271.1810176,7408.2534747,117.2101501,9294.5021366,2696.5737865,118.9540309,34.3979023,7.7041446
234,2,18556.2649103,14604.9958577,155.1606153,47824.5928402,2740.5217083,253.1624879,95.0176798,5.3236863
248,2,21067.2031675,10236.2872664,160.0156231,23902.4683724,2366.7560424,191.301213,76.3827597,8.508965
262,3,4557.5359287,14526.2521174,441.031536,188810.2537707,337.9607127,236.592368,150.3187305,9.6317658
264,3,5260.960002,7725.3931918,175.6130688,46236.863177,3182.4210704,357.0937213,187.8314031,9.733744
267,3,5538.9605765,15109.2565475,141.3897031,28989.1009073,2607.5343456,183.6787812,72.2803694,5.381634
277,3,7092.015169,15468.1377749,10.6263983,1677.2896088,3140.4105884,181.3767032,70.6793562,6.4217124
290,3,9284.2598777,7088.4919378,11.9480926,2500.2550231,3369.5732728,244.657299,132.6703216,5.9051803
295,3,10094.5362182,4986.5507744,125.6830308,29629.6339006,2663.3941641,183.5828714,68.6048575,4.2546262
299,3,10976.0608976,9207.928595,147.4331678,33604.0843682,3219.917999,339.5215507,174.1183169,9.1437075
300,3,11028.5969312,12891.0272812,125.9621044,20161.2730268,2946.4591025,234.8618785,99.5110001,7.9034792
302,3,11111.2768318,16274.9397738,128.9231495,13048.7522217,2539.0000105,124.5131839,37.5248871,6.8509539
305,3,11412.1480311,3094.8535501,112.5113509,11005.3671134,2542.1046242,178.8303398,82.2317721,8.9912116
306,3,11548.6487178,8388.2929194,113.4273405,30136.9769711,3261.1656995,343.4718102,196.6604483,6.3761398
