"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
165,2,4138.6224664,12073.4349515,136.1849232,64410.3163256,4792.3130065,567.6872094,330.6569746,6.8659754
169,2,4498.2580791,18062.7431873,378.1220697,160087.880964,1311.4515117,211.3780645,82.3805243,7.5106168
172,2,4903.588245,2338.1718185,252.4913095,69658.838193,2179.1909226,259.012049,120.8749024,9.496898
188,2,6395.3622712,8820.2144819,117.9329714,18670.7150464,3918.4773458,227.2568009,72.1266827,7.3306247
199,2,7222.8897901,15479.8480315,11.7890776,2813.5111798,4832.8303348,320.6107523,147.1473476,6.8247484
201,2,7428.7933403,3735.885444,105.5463889,26598.9555711,4588.4547069,281.235192,105.4991383,5.2244813
205,2,7483.4624521,7227.4426472,10.8808996,3052.1793851,4485.4238196,202.0587847,62.3958683,3.9788729
219,2,9051.7769288,648.0800028,138.3309536,18830.4383762,2523.352757,180.1915353,72.2603161,7.7522933
220,2,9186.8499685,10977.2467692,319.4006131,89926.2991631,2918.2311609,218.2406497,75.511013,9.8523423
233,2,9930.0347729,15353.3142928,6.0855246,2946.1118571,4532.1863463,296.237842,131.1193019,5.637143
240,2,10583.2171938,5714.8770781,254.2317651,73603.8268844,3403.928112,246.1396505,81.5932594,8.6686146
241,2,10671.0621755,21269.294935,126.971361,33035.3746415,4113.4064056,353.8191312,169.3939751,7.3492219
253,2,11620.5472864,16011.1901307,321.7219782,127202.9204466,3002.1374437,268.6471696,94.8654713,8.6902686
265,2,12883.8612866,15507.332831,170.6385821,77003.3036306,4836.1649405,516.9811175,241.5578506,8.0012756
270,2,13368.9574877,18983.3558592,163.8300602,130237.278334,4532.5827516,818.3487344,512.8010892,6.9196085
271,2,13507.9982989,13074.9591373,135.3991634,69080.4736959,5364.5367975,592.7472451,307.1217162,6.6126361
272,2,13665.8725987,5344.6682706,128.9432706,43850.0292626,3854.8374997,354.7984756,146.5739695,5.725509
274,2,13547.9509491,11371.0168827,195.8375513,145509.6331445,5061.9770181,742.4744391,401.8064345,7.9097126
282,2,14515.6353439,6353.4328703,120.1443447,32652.6239038,3430.7656339,292.6401026,155.8084858,5.5848098
289,2,15277.9705306,7961.1544851,129.468095,42661.6721719,3836.7183004,428.2646654,253.0734227,7.1313009
292,2,16032.0824008,18610.2151389,340.1830993,112152.1928876,2320.1819734,219.9966691,83.6025282,9.0266714
300,2,16982.4213738,13102.7333201,274.7401984,78531.2836063,2038.2337367,252.9202894,115.1230925,9.7073038
306,3,3702.6131223,6659.0144755,494.4341438,321866.6158076,988.0393444,203.62379,70.2229821,6.1509089
312,3,4115.4230122,12088.7249098,143.7630951,70047.9979664,4528.7160373,317.7159813,99.7153945,3.9557536
333,3,6382.6928907,8817.7628779,100.927709,12954.6014179,4083.5287629,248.588846,97.7041582,8.7182594
341,3,6930.6048434,17652.471609,417.1473346,255319.5348753,2277.8031449,361.8817899,165.9005141,9.7217911
343,3,7412.1293258,3727.3868046,126.2318125,35618.1472153,4736.6465847,500.4908631,305.4367953,9.502479
375,3,9593.0653854,20995.8202156,458.9365337,346993.7238185,1258.9689373,329.9269958,151.9392344,7.9001224
377,3,10053.0448041,11866.4436401,268.3617477,79647.6082295,3226.5459323,250.0978541,87.4092902,9.0447902
381,3,10163.0862526,8889.4745229,162.5066571,25780.0579134,4040.5508225,221.6683303,69.1496368,9.3862441
396,3,11447.8793549,8239.9254692,134.4047473,20214.8191315,4023.9368135,177.2246878,45.6324204,6.7495263
402,3,12363.2524878,5282.9530556,546.402111,294972.976464,2484.5159784,240.1165562,83.0495666,9.5795381
409,3,12683.0756079,3947.4897086,300.5093426,134918.0229714,2157.8640839,237.698051,76.7885978,6.3693937
412,3,12893.5519622,15539.0123607,134.3242666,50109.1568705,5811.9286015,409.7843504,158.9253611,6.2282408
415,3,13359.4260572,18988.5773275,184.4781916,148168.8849814,4383.743629,745.6110542,386.5033483,6.9559829
416,3,13479.3923639,13087.4032317,148.0029453,76116.3942671,5093.6293126,595.3377414,297.1652333,7.1164555
417,3,13634.3660927,5322.5005432,130.2626894,46803.6882053,3839.3874386,328.865203,124.6333754,5.0782996
419,3,13538.9523333,11369.7905629,227.8675538,218016.9844048,3620.5127405,726.8843132,361.3631334,6.9375548
421,3,14501.5428995,6353.0112941,121.7793734,34329.9076277,3480.8310395,182.6578466,59.4445275,3.4704286
425,3,14843.1442346,18579.3234738,7.387195,1864.2181899,4389.9117952,319.2114123,163.6630361,9.6596322
430,3,15305.8894971,7955.1104849,136.2298007,47156.6384153,3732.2340422,313.5936771,126.46723,5.2239489
