"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
2,1,4459.8351812,18754.0481343,278.0021128,85505.2330624,4406.9393426,244.2007178,68.0268824,8.8210703
14,1,6530.1917215,19909.4783571,536.6154291,828975.2445188,3906.5549679,497.6113485,163.1310646,6.7937378
24,1,7493.1104934,24035.0789988,552.1696566,735028.1377824,2869.9968081,488.1982601,191.5789995,7.9504649
30,1,8215.8547626,15059.1153238,139.2344247,277413.8664616,11124.2275993,913.4258008,268.067522,2.6820021
31,1,8406.2011604,11980.3376279,515.9153884,637943.9963121,2577.6309274,320.6759367,90.2677401,5.2945385
34,1,9027.9023019,10731.2154335,299.6849693,147383.0601036,3649.1574338,390.747358,161.9903893,9.4523981
38,1,9169.5693844,20458.2951156,199.6989901,92331.3216943,9926.6069862,435.0810617,107.9655309,7.6072137
40,1,9474.5008953,23097.4300975,901.3717881,3133459.4162983,1713.6644831,402.2597046,98.1921443,4.1143932
55,1,10318.8510794,25998.1094282,478.835427,752836.5593937,2190.899014,399.249085,114.2193177,4.8086074
74,1,11845.6538332,26548.6664232,433.3539908,316920.1285778,2872.0476966,266.7550059,79.2133461,6.2698702
77,1,12126.8940252,13797.1565243,8.0166355,3646.2984381,13101.833138,514.0314212,135.1869754,7.992062
90,1,12980.0655098,24628.0196133,317.0487535,147555.4363918,7828.8548543,306.4219653,59.4890149,8.2954905
98,1,13669.0462864,8308.8218849,157.5249673,151501.9302936,11196.2386931,766.0499723,255.0436699,5.1771016
102,1,13869.603721,13152.0523571,151.0298688,181800.470509,13272.7892602,1088.3219899,403.4290355,5.6493711
104,1,13964.147808,24290.1433015,393.2498304,353249.1254967,6769.6038063,446.7242504,117.3507886,7.7172993
106,1,14394.7916509,17205.842233,215.8972807,436734.7251917,11910.3327807,1782.9633203,985.6669425,7.6275076
119,1,15250.3867945,24134.1159564,192.8103121,239336.9202005,9496.4313163,971.4755706,351.7664117,6.1055535
123,1,15681.3247153,15608.5164801,646.7360458,1223977.8095129,7440.463465,487.9748591,113.5209698,6.546762
124,1,15763.2270408,17771.5431413,152.965175,71245.4384941,14332.8981476,389.3080191,64.5534691,5.3192611
132,1,16823.4479519,2942.5532215,361.0912708,182334.2152853,4469.4468998,320.6656505,101.3274778,9.0743412
155,1,18413.2196227,19695.0834339,313.7584229,139608.7412812,9610.819472,316.7143856,57.6318906,8.8703357
174,1,19574.9254061,4235.8708877,805.0735876,2800260.5901242,461.5721618,505.4753367,162.2073728,4.5996443
176,1,19578.2503925,7738.6819971,1023.2660686,6580929.8931456,0.0001284,524.9089006,121.5248608,3.291415
180,1,19768.9873753,2208.6887243,548.5864643,590279.1310832,2538.9156255,439.1185384,201.9572054,8.7904082
185,1,19683.2546948,20184.0993204,496.4098917,453394.8415424,3159.2817677,266.159977,68.31831,5.7351027
196,1,21157.5243103,16768.2638256,218.9193505,186520.7404403,7159.0526555,745.6672471,338.3016953,7.6907083
197,1,21642.9558523,5268.2256324,136.966886,107592.9514871,12235.9597258,816.6610765,301.9750887,5.9696123
200,1,21644.9995137,14155.3121794,144.760274,102619.3619446,14035.6298438,946.6235476,363.6325334,8.0326601
201,1,21469.2133517,15986.3055158,515.9687084,938633.1126567,1615.0171133,459.8911386,161.4970975,5.1429959
210,1,22959.7103771,4829.4530826,632.0084408,970967.2577106,4224.3557585,407.5925826,115.749637,6.5924313
216,1,23260.724368,4817.7536567,357.2351308,192966.1020732,6415.7278496,283.0162151,59.1528456,7.4299722
220,1,23751.3813182,13279.614853,344.0762004,237576.484815,2682.1788681,381.4497757,153.8539153,7.5308719
226,1,24862.1982399,6891.6224282,532.6381979,815911.6954337,1437.2962517,386.5364482,123.3587198,5.3051679
243,2,7558.1436471,25691.6429863,289.6709037,243330.3571616,4107.1700195,708.4949801,379.4739148,9.6825257
244,2,7842.9190414,12668.1771188,446.8597328,342654.8241128,3874.0440284,372.3175218,124.2027061,8.5492219
247,2,8083.1984165,17435.372357,513.0040332,612533.9562871,4496.3912376,372.0311065,98.2837949,6.3032081
250,2,8212.0819055,15053.6505922,140.3628408,285272.3322331,11182.2603764,940.3760649,321.0507735,2.7247847
260,2,9212.8931525,20047.2846656,628.9778508,1310711.7535837,3987.4623165,474.5119949,133.4066639,5.6314859
261,2,9193.0477346,20486.3885565,127.0296367,36339.3731656,12156.788421,378.2227605,76.1903902,7.1455916
266,2,9752.5640924,25291.9001277,857.8608325,2853790.5495803,0.0001208,394.0299326,117.4006113,4.0114622
267,2,9850.9411318,13371.0317913,388.1724561,294026.9912394,7308.2421189,420.1961933,107.7865319,8.4974905
270,2,9832.1451761,26072.0420319,535.7508267,836318.2182644,1376.0630567,440.4016214,171.2011254,5.9519323
297,2,11693.4893076,23091.8030516,725.0853492,2884782.9864873,0.0003262,386.2129984,74.675665,2.7986395
308,2,12696.2131891,6873.0542611,484.7902298,425525.575935,4047.818786,372.9929754,117.5617574,8.1117577
320,2,13825.9988286,4391.1153151,380.871437,219801.732764,2487.0443167,329.7811449,140.0122367,8.6053499
322,2,13685.6590477,8334.0830141,132.7614785,91946.6199215,13437.5857566,771.9776416,245.8052377,6.231832
325,2,13858.8399892,13171.5385121,161.4736478,199476.8765068,13092.0499877,1375.1410211,654.0017086,7.3728175
326,2,13983.3601653,24340.1233237,388.7548838,327309.5079131,6605.0162649,434.1520148,120.2119892,7.9123305
328,2,14404.824875,17211.0807879,225.8779083,491641.0477162,11367.7698489,1803.4917444,971.2370398,7.4833633
341,2,15249.3500232,24126.6494832,205.3808771,277125.8814847,8641.8332475,834.5371835,287.0410631,5.1250063
344,2,15342.4414498,16389.3633705,14.0824827,4295.2914534,14866.6541826,396.2692112,73.2094394,5.7379989
347,2,15546.8372506,24925.6784031,399.2779093,283832.5942859,3773.8648551,370.1374897,129.6343732,8.2087465
350,2,15763.9857997,17766.0633136,152.5701792,68428.5489434,14253.2984818,564.4436603,135.4086441,7.9452692
