"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
375,3,8865.1134126,13481.6693777,177.5389643,64678.0186766,4729.8160346,494.9545115,236.1327078,9.8306697
385,3,10451.6567634,3994.8855148,12.4127741,2534.9384901,5020.9146653,229.9634671,75.3874662,5.5264858
398,3,11368.0613807,2248.1004817,397.31682,197322.4970102,1295.4652841,240.447296,103.786349,7.6318292
399,3,11444.3324983,5920.963363,128.2080157,43415.4786409,4085.8899328,390.8672527,189.7032303,6.2920364
400,3,11689.8579117,9781.2506621,110.8883793,30216.3445797,4566.6720777,237.8391271,71.5114564,4.2764228
426,3,14710.7121415,6795.3467212,539.5858085,322331.5528446,2175.7242113,277.2935059,113.9644972,9.8590255
427,3,15053.5322093,5281.893125,392.6400233,195218.8579388,1295.360512,251.4858864,110.5846856,7.8741576
429,3,15401.0205824,9279.6745402,548.7642743,365654.5196709,1823.2773033,278.2359506,118.3784163,9.0246452
437,4,2130.1539704,16801.2345325,147.8288056,95318.4231086,3072.0923276,464.2645083,258.2544142,4.4459657
452,4,3997.2419143,6711.5036814,454.5630882,246646.8902636,2243.539057,299.7943006,132.6526686,9.8987352
453,4,3898.4603634,9595.416564,533.0323195,521176.2824197,847.9025467,375.1473431,191.5870356,8.0449619
458,4,4588.0144617,5750.8810235,462.0772161,415330.8318853,737.7307545,214.630609,60.7443371,4.4164528
460,4,4736.669477,12583.9428664,371.3149657,137005.80139,2935.2348844,213.9472146,61.6471505,8.5531557
466,4,5180.6691764,4475.2444823,108.8514863,50746.2792989,4258.1400145,270.8147317,95.1678972,2.8243417
468,4,5170.59977,19657.4764005,137.2196877,90017.5642106,4818.2569052,598.8928001,342.1124512,5.2634194
478,4,6108.0287102,12284.5167394,152.042619,100780.2112399,5244.1951918,373.2885946,102.0365087,3.5853354
488,4,6709.668714,16142.8409693,62.1356645,7215.3186495,5231.2602162,306.0708945,126.5872538,8.7221305
490,4,7005.821397,6776.1774675,92.415368,13278.377047,4213.8413566,258.6674803,96.2355599,7.5997513
494,4,7403.644057,11901.2870327,255.5842945,197649.6791878,5136.8907884,599.6613689,254.1057784,7.9020967
497,4,7534.5941301,7494.4953238,134.9799719,17747.8826671,3916.8579314,176.2501467,48.5467792,7.689879
500,4,7914.5561064,5408.1854952,104.1595988,21274.3526232,4531.9411006,271.953236,102.0062678,6.1586204
511,4,8884.8911463,13479.4443825,146.178503,48081.989047,5126.7750342,493.9170443,232.1779395,9.128301
512,4,8749.7094234,17307.7794596,554.6574963,384207.8226687,1909.724263,311.5364514,135.0580199,9.8082623
533,4,10905.8859449,13946.1081539,479.2826037,309799.2877719,2056.9863955,213.6166988,60.0172696,6.2943073
538,4,11446.0333905,5918.5455498,125.0802981,41858.7551061,4177.070335,427.827029,226.8830254,6.816139
539,4,11678.4361386,4204.4876796,500.3957759,405200.8576048,1312.2794485,293.0518365,116.6567667,7.1510557
540,4,11714.4659897,9790.5951432,122.6721169,32715.0108729,4259.6092841,237.9862247,76.064113,4.7372897
574,5,2139.0481369,16797.1497035,141.4948256,84342.4326386,3306.9540041,524.2800228,315.9919231,5.213114
585,5,3655.1925713,4160.3226924,352.2051129,128388.4104657,1721.6548738,240.2418785,108.1551031,9.2123816
596,5,4621.7554363,5656.2444742,546.4022065,462022.924715,1185.1973827,312.3232676,133.4857719,7.9495404
599,5,4990.8198368,8190.801497,438.4836123,203392.3697112,3287.2690643,235.9626926,68.962503,8.8234095
604,5,5302.845437,2660.8361328,411.1670613,248307.8255784,326.7233744,241.4934648,106.9279651,6.5321453
605,5,5191.5639629,4510.204238,123.9214795,62417.1893245,3803.5054605,308.9572356,111.4365477,3.290765
606,5,5245.2874846,13675.4969202,134.0512151,18874.0862182,4870.0839509,228.9890052,65.6171395,9.2216973
607,5,5169.8820928,19660.5765342,157.7866768,100135.6413672,4139.6473387,529.6678221,287.7902976,5.4441262
613,5,6105.9820122,12302.0174876,157.6909065,109363.2281528,4864.7471653,514.2678667,208.9306042,4.8400957
626,5,7257.6109474,1813.7844684,528.1904986,397818.2434701,181.4996947,150.8843358,46.9563142,4.2745293
630,5,7549.3013531,7502.4865833,145.797896,20822.3266379,3622.183433,190.3232818,58.6473694,8.1576318
632,5,7854.3599947,1642.8695578,423.4719118,238222.8368143,1021.1298438,317.6351361,187.109913,9.432958
636,5,7916.075682,5412.7118901,122.0280307,30799.2419397,4193.5154047,224.1309896,69.1837633,4.6999229
646,5,8836.703782,1823.4081635,184.1085635,43803.9188674,2941.7366375,232.3528847,92.727036,7.3668585
649,5,8908.7766975,13497.0350639,129.0117525,36434.0629948,5247.1474851,458.0265617,208.114462,8.8567849
670,5,11465.2843522,5907.7069082,108.521689,33598.3142212,4823.6433893,548.9419395,350.8730132,8.3981575
672,5,11707.4457324,9794.9501366,123.4208544,34525.4150066,4316.4011307,348.4903869,170.5630168,6.5818474
697,5,14960.1259361,6226.1520165,383.9161563,146376.2562545,2720.7497043,240.1494497,86.0371133,9.5767634
698,5,14990.057883,10033.4437096,813.0828868,1245234.4266766,47.0588662,298.1692004,131.7640759,6.2378537
699,5,15131.7523223,5553.8175807,379.2453707,148883.6055024,1697.8223259,187.1072952,67.2939516,7.2081874
708,6,2134.4941894,16805.299291,143.0288995,82075.0390476,3210.73512,675.7123324,537.2146716,7.021367
735,6,5088.4544067,6620.3364831,590.0683633,529627.9705552,1199.7199792,226.5971563,72.5105401,5.9080078
738,6,5226.7378833,4514.9199545,114.6787623,47959.7029769,3903.605018,361.8502601,164.9218819,4.3227828
741,6,5166.8955469,19673.4583913,138.5580531,77710.5723919,4836.7965363,523.2669067,277.9457312,5.4284734
743,6,5850.7414059,17503.8511409,755.872471,1227260.0878847,0.000357,310.869105,128.6276204,5.7079526
747,6,6081.2941822,12297.3055531,141.7217379,86255.7173805,5441.2923956,411.8016508,130.6259827,4.0366261
748,6,6172.0025946,2603.6200891,686.35461,594633.5337187,885.9935266,229.8041765,92.8421953,7.1906156
750,6,6367.6596631,8418.2846929,147.7409495,33794.1896577,4833.9509544,347.0663151,134.6033663,9.3281311
759,6,7334.7068877,3645.8573846,737.3301435,957412.6588498,79.9942958,186.3527679,52.3678034,4.2382931
761,6,7356.7925911,11931.5338694,314.4737053,353075.005729,2964.8670233,690.4519319,331.7794297,7.6527307
762,6,7531.4541469,7533.3029998,115.9583435,15305.2764532,3778.0108318,232.102824,88.2172168,8.8356809
767,6,7940.609184,5407.4168963,122.763165,30976.3780755,4550.0156836,305.8962287,117.7700378,6.3871538
772,6,8324.5124351,2118.73581,132.6988725,23538.6300912,4189.9891087,272.8068795,107.1970964,8.6357525
780,6,8870.399214,5328.4336766,149.0898486,15956.8824993,3964.0210496,167.9333631,42.8412188,9.7877456
781,6,8907.7996107,13504.2077721,154.5878864,59066.8897369,4657.2108091,443.5680189,210.0337589,7.4282273
789,6,9597.039806,10178.0620692,413.7184031,172898.1916903,2374.0292139,218.1522532,71.7019178,8.5606454
791,6,10075.0168937,4265.3223264,276.7685841,102277.5325178,3297.731627,300.5162197,113.7519019,8.9778402
797,6,10273.5805697,16829.2905595,97.1341417,8209.1074341,4255.4066904,175.4150514,47.825585,9.1106368
804,6,10928.5407992,9839.3901175,455.1150763,220411.3474066,2107.6774078,241.631732,90.4889489,8.973848
809,6,11461.7885189,5912.4036003,100.882018,26888.4270673,4931.4027202,517.4862069,329.3959229,8.6913529
