"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
629,5,7087.1497421,24762.1021946,40.2876295,2428.8088177,2620.3541846,186.5602415,92.4268121,9.1012244
650,5,10372.6454209,21655.6440232,142.163762,36756.8140564,2873.4244527,324.0429485,154.9728373,7.4666827
655,5,10968.1594508,15738.4801049,9.6628791,2583.7076194,2637.1997411,217.2938024,118.4163482,4.9371667
656,5,10973.0445255,24124.6981686,23.0814473,1536.8769491,2479.2218963,189.7307728,98.2710122,9.3238093
657,5,11125.2341743,22160.9610505,131.6498773,21700.2660512,2927.5209276,279.7082328,151.8194596,9.4545246
662,5,12196.5013912,9418.1368653,463.5352579,201945.2604162,827.4743494,200.3739906,93.2812173,8.4472418
663,5,12655.4170908,14027.8047161,169.6196045,56395.4319957,2756.0666922,394.5643112,230.4926826,8.2551309
671,5,13461.9567352,1297.4004858,156.2687222,40005.3282598,2253.5967506,239.6916415,119.5547936,6.0995441
672,5,13541.0398135,18189.7075791,4.9332934,1643.3432629,2671.8316531,178.6438642,80.1292806,6.0824516
681,5,14706.2527708,16520.7359431,146.2235179,32349.5184644,2478.290421,292.1867347,160.8182913,8.0665323
693,5,17028.0278503,2253.8970292,176.1727565,73355.3682586,3140.7629204,393.2048136,204.7394435,6.8097854
696,5,17162.66747,19477.8011203,13.3594293,1866.656459,3232.7398893,236.2828445,113.901752,7.7918476
697,5,17286.667072,7458.8219797,123.4586771,24837.9816122,3218.4297705,338.79852,199.0943039,8.8793526
706,5,18046.9036901,16562.0007174,109.422405,17426.0170466,2392.5596866,199.6386847,94.7038859,6.0567137
723,5,20482.2014469,20203.3194049,417.230582,120514.7068605,727.7491407,136.1288214,56.878691,7.8615185
731,5,21403.0008914,6988.4277879,117.5242231,37531.460212,2989.1560879,246.7271404,109.4880421,3.9704622
740,5,22510.169075,5596.5409267,125.0588984,28322.1312159,2999.4362114,230.875088,90.6993688,5.4878538
747,5,23953.9324366,14468.0486918,116.8315984,22945.0334426,2160.8236972,247.5868814,145.5091451,6.3931936
775,6,6088.1779716,19910.3452592,139.18825,60405.517265,3429.1656581,745.3749527,654.8434498,9.984791
798,6,10377.4923937,10786.6665519,585.5878307,286350.9475622,1061.6774423,164.2269267,59.4712559,7.8058864
799,6,10359.1352535,21623.4389348,132.3248092,34038.1711436,2971.8790989,216.1768747,76.7215003,4.7639841
803,6,11111.3163277,22194.9024402,115.2975637,20141.4123834,2840.4879082,232.2293667,98.2665709,6.6715524
806,6,11855.7944317,8750.1925961,40.0572384,2621.2767136,2869.3891221,156.2298795,58.5542317,7.0671294
811,6,12655.8170598,14026.1488013,173.5482435,55137.7661293,2760.6247542,359.6557105,191.4097211,8.0472474
817,6,13451.3626801,1289.965197,134.1104626,29663.6185844,2626.6101919,351.5339555,225.5725416,8.9840299
823,6,14317.1932141,15479.9440135,3.0715166,2020.0516263,2807.4354593,213.8366563,111.7949701,5.8450895
829,6,14727.5291213,16506.176792,108.8733382,16751.1720283,3002.5158863,218.8684921,93.4261798,6.8222304
844,6,17013.4284013,2259.1379066,178.7239657,64650.6309325,3114.9789389,357.8328987,169.0444993,7.2300178
845,6,17285.0139635,7440.1933057,131.8697029,29523.6465312,3336.669652,340.931229,176.9506851,8.4903925
851,6,18037.5155701,16593.4688191,98.8758892,17003.6341609,2482.3185032,230.1018453,134.865587,5.9651174
857,6,18829.2868023,10921.0682674,417.1803431,188208.9499364,864.6554923,253.6592918,134.3392228,9.2742874
863,6,20124.6394898,12191.5142474,5.3487097,983.5230939,2831.038453,162.5931461,66.8098834,9.226771
875,6,21416.9124414,6958.3946942,118.278984,36233.9293998,3117.4461358,290.3517729,137.1128619,4.8632967
883,6,22483.8975479,5586.8389551,130.9680654,27261.3780997,3019.6264732,358.2761301,240.7107864,9.5298249
887,6,23965.6868317,14457.728005,111.0929783,21919.6766875,2199.5903694,184.3111576,87.7447019,4.6029778
915,7,6805.2570912,11841.7347707,189.9822368,35232.4164749,2408.4349072,207.6149085,88.1286593,8.6879705
939,7,10340.4886076,21615.0253954,124.9889952,27638.4596042,2907.2703129,271.8761225,127.2137369,6.5823392
945,7,11114.6469361,22200.9198968,124.5409771,19675.5366278,2589.7934435,287.5447215,157.7799996,9.6726797
946,7,11234.8644675,4769.337014,10.5521155,1868.9074099,2872.1936841,149.5894142,56.06958,4.803494
950,7,11869.7631821,20378.6647838,14.5273515,2482.4397477,2911.1519023,195.9031562,91.1007488,5.010462
953,7,12668.6732258,14025.6308168,156.2199959,40425.685792,3212.4009872,279.7811462,121.5379542,7.0147739
958,7,13453.1366847,1276.177707,108.9312424,22316.0964661,2767.0233353,252.3450448,118.3616809,5.9099812
971,7,14808.4230711,12665.2590626,390.1710286,128069.2933925,1816.4577724,206.3960475,81.1102683,9.7268766
972,7,14719.5128371,16505.09132,101.6863322,15047.0928948,3229.4965118,264.0460451,142.0442551,8.0797661
986,7,17010.3330362,2275.7555912,157.6275632,50585.7495615,3416.4411277,253.6614005,83.0991488,5.1977177
994,7,18039.8421375,16582.9603365,113.5729087,19994.412631,2355.7696722,192.7081864,81.9389775,5.4630194
1030,7,21424.6215498,7013.2067883,109.3772122,31486.1989177,3096.4101108,294.213803,116.0393709,4.9217666
1032,7,21743.1521453,10778.7983001,349.5331115,83291.9422007,1180.8538177,140.6743038,53.3880835,8.2639432
1035,7,22349.8915339,17342.8391368,416.8069733,170193.1674924,174.6242129,193.4985995,115.0219706,7.8495816
1036,7,22497.5746268,5622.7857339,98.3686589,16378.4802706,3083.5641524,292.3328544,153.120336,7.7484327
1043,7,23943.4424164,14448.4604354,126.6426463,28969.3776233,2051.1258131,223.2606567,112.6343579,5.3159288
1095,8,10360.4788761,21607.4473441,124.222926,30354.1049252,2813.8720136,290.9850106,144.0147966,6.3403756
