frame,frame,x,y,file,particle
1,1,21.6449995137,14.155312179400001,cell4.csv,6
1,1,21.642955852300002,5.2682256324,cell4.csv,7
1,1,15.7632270408,17.7715431413,cell4.csv,14
1,1,21.1575243103,16.7682638256,cell4.csv,16
1,1,14.3947916509,17.205842233,cell4.csv,17
1,1,15.2503867945,24.134115956400002,cell4.csv,18
1,1,8.2158547626,15.0591153238,cell4.csv,21
1,1,9.1695693844,20.458295115600002,cell4.csv,23
1,1,13.6690462864,8.3088218849,cell4.csv,30
1,1,13.869603720999999,13.1520523571,cell4.csv,31
2,2,21.1614712658,16.7694883564,cell4.csv,16
2,2,21.621053676200003,5.2683740415,cell4.csv,7
2,2,21.635246283,14.1636867483,cell4.csv,6
2,2,15.7639857997,17.7660633136,cell4.csv,14
2,2,8.2120819055,15.0536505922,cell4.csv,21
2,2,9.1930477346,20.4863885565,cell4.csv,23
2,2,15.249350023200002,24.126649483199998,cell4.csv,18
2,2,13.685659047700002,8.3340830141,cell4.csv,30
2,2,13.8588399892,13.1715385121,cell4.csv,31
2,2,14.404824875000001,17.2110807879,cell4.csv,17
3,3,21.181340051899998,16.7632581661,cell4.csv,16
3,3,21.625965075200003,5.2722530165,cell4.csv,7
3,3,21.6358420177,14.1723192406,cell4.csv,6
3,3,15.2588451849,24.1339165207,cell4.csv,18
3,3,15.783999273800001,17.7636516161,cell4.csv,14
3,3,8.223346125,15.043591646000001,cell4.csv,21
3,3,13.679746618900001,8.3482063332,cell4.csv,30
3,3,13.851582436400001,13.1644354039,cell4.csv,31
3,3,14.407798515500001,17.208527191599998,cell4.csv,17
4,4,15.2528012209,24.1275098837,cell4.csv,18
4,4,15.780098953700001,17.7708236795,cell4.csv,14
4,4,21.635459648,5.2762863166,cell4.csv,7
4,4,21.6267703647,14.1801223216,cell4.csv,6
4,4,14.4121177933,17.182842505600004,cell4.csv,17
4,4,13.8495731154,13.1624381208,cell4.csv,31
4,4,21.1855456424,16.7761656895,cell4.csv,16
4,4,13.646013828200001,8.3620392127,cell4.csv,30
4,4,8.2211486499,15.0490035764,cell4.csv,21
4,4,9.2164704346,20.4773014138,cell4.csv,23
5,5,21.630249414999998,5.2747821642999995,cell4.csv,7
5,5,21.632199466499998,14.1783439478,cell4.csv,6
5,5,21.2017958731,16.7762980653,cell4.csv,16
5,5,9.189411639800001,20.467864397000003,cell4.csv,23
5,5,8.2079918285,15.0421032337,cell4.csv,21
5,5,13.8416660076,13.185776671,cell4.csv,31
5,5,14.4155192447,17.1972890245,cell4.csv,17
5,5,15.2622658388,24.1354379682,cell4.csv,18
5,5,15.795772995900002,17.786327092,cell4.csv,14
5,5,13.646688571,8.3759317126,cell4.csv,30
6,6,21.620968659499997,5.2847137315,cell4.csv,7
6,6,21.6489453131,14.1458770402,cell4.csv,6
6,6,15.8028000126,17.7937321326,cell4.csv,14
6,6,21.1988737116,16.7936274361,cell4.csv,16
6,6,15.268535910299999,24.1225490694,cell4.csv,18
6,6,8.2248518689,15.036895205,cell4.csv,21
6,6,9.2025733125,20.4676654276,cell4.csv,23
6,6,13.646502960600001,8.353816697000001,cell4.csv,30
6,6,13.8503376553,13.1778379596,cell4.csv,31
6,6,14.4005152893,17.1815715172,cell4.csv,17
7,7,15.7770342546,17.774884645,cell4.csv,14
7,7,21.6256743737,5.2721525862,cell4.csv,7
7,7,21.2050364696,16.7821808758,cell4.csv,16
7,7,21.6675467706,14.140400067500002,cell4.csv,6
7,7,15.271681751700001,24.1203348567,cell4.csv,18
7,7,13.8516099836,13.160080155,cell4.csv,31
7,7,14.3832339025,17.1966055346,cell4.csv,17
7,7,9.1898791755,20.4921059406,cell4.csv,23
7,7,8.2200108487,15.0379855023,cell4.csv,21
7,7,13.6332992019,8.339779364100002,cell4.csv,30
8,8,21.1898053197,16.7857404754,cell4.csv,16
8,8,21.6159054686,5.2604841718,cell4.csv,7
8,8,21.6591348013,14.1401279908,cell4.csv,6
8,8,15.7895816419,17.7736964702,cell4.csv,14
8,8,8.2166348574,15.036698840700002,cell4.csv,21
8,8,15.27314729,24.113738615499997,cell4.csv,18
8,8,9.2091686751,20.4805712899,cell4.csv,23
8,8,13.649482194,8.337612022,cell4.csv,30
8,8,13.8424562257,13.1701030708,cell4.csv,31
8,8,14.3820751088,17.1856693236,cell4.csv,17
9,9,15.776893641200001,17.7789007046,cell4.csv,14
9,9,21.6571501378,14.1441568668,cell4.csv,6
