frame,frame,x,y,file,particle
1,1,11.6963680098,9.7752550495,cell3a.csv,4
1,1,11.429129512,5.9113779847,cell3a.csv,5
1,1,7.945715764,5.407892374,cell3a.csv,11
1,1,2.135078687,16.8107416838,cell3a.csv,15
1,1,5.2015621738,4.480473204300001,cell3a.csv,18
1,1,6.0807819936,12.3057427815,cell3a.csv,20
1,1,5.1708400698,19.6558686531,cell3a.csv,23
2,2,7.9448142158,5.4153172673,cell3a.csv,11
2,2,11.7006402462,9.789345935,cell3a.csv,4
2,2,11.4283002714,5.924558140899999,cell3a.csv,5
2,2,6.0812855393000005,12.3083949382,cell3a.csv,20
2,2,2.1025052606,16.7946197655,cell3a.csv,15
2,2,5.151842352100001,19.6449747973,cell3a.csv,23
2,2,5.2026032288,4.4747281998,cell3a.csv,18
3,3,11.6898579117,9.7812506621,cell3a.csv,4
3,3,11.4443324983,5.920963363,cell3a.csv,5
3,3,7.9173284178,5.4101545483,cell3a.csv,11
3,3,2.1140077405000004,16.7866630559,cell3a.csv,15
3,3,5.1756681904,4.4965720464,cell3a.csv,18
3,3,6.0978581417,12.304102209000002,cell3a.csv,20
3,3,5.171236786100001,19.6527179535,cell3a.csv,23
4,4,11.7144659897,9.790595143200001,cell3a.csv,4
4,4,11.4460333905,5.9185455498,cell3a.csv,5
4,4,7.9145561064,5.408185495200001,cell3a.csv,11
4,4,6.1080287102,12.2845167394,cell3a.csv,20
4,4,5.17059977,19.6574764005,cell3a.csv,23
4,4,5.1806691763999995,4.4752444823,cell3a.csv,18
4,4,2.1301539704000003,16.8012345325,cell3a.csv,15
5,5,7.916075682,5.412711890100001,cell3a.csv,11
5,5,11.465284352200001,5.9077069082,cell3a.csv,5
5,5,11.7074457324,9.7949501366,cell3a.csv,4
5,5,6.1059820122,12.3020174876,cell3a.csv,20
5,5,5.1698820928,19.6605765342,cell3a.csv,23
5,5,5.1915639629,4.510204238,cell3a.csv,18
5,5,2.1390481369,16.7971497035,cell3a.csv,15
6,6,11.4617885189,5.9124036003,cell3a.csv,5
6,6,11.695698851900001,9.787597575800001,cell3a.csv,4
6,6,5.2267378833,4.5149199545,cell3a.csv,18
6,6,5.1668955469,19.6734583913,cell3a.csv,23
6,6,6.081294182200001,12.297305553100001,cell3a.csv,20
6,6,2.1344941894,16.805299291,cell3a.csv,15
6,6,7.940609184,5.4074168963,cell3a.csv,11
7,7,11.6998887495,9.8077858694,cell3a.csv,4
7,7,7.9256267327,5.3984332837,cell3a.csv,11
7,7,11.4392714171,5.9206684238,cell3a.csv,5
7,7,2.1350097471,16.804480815300003,cell3a.csv,15
7,7,5.1818590023999995,19.6664501455,cell3a.csv,23
7,7,6.0866625972,12.3120181829,cell3a.csv,20
7,7,5.2501521899,4.4675449099,cell3a.csv,18
8,8,11.445033679,5.9024775435,cell3a.csv,5
8,8,11.7128143027,9.7903981914,cell3a.csv,4
8,8,6.090429483199999,12.3253019514,cell3a.csv,20
8,8,5.1883648596,19.6572981941,cell3a.csv,23
8,8,5.1763418622,4.4696680035,cell3a.csv,18
8,8,2.1379600187000003,16.785078145,cell3a.csv,15
8,8,7.9243502202,5.421167516800001,cell3a.csv,11
9,9,11.4443490281,5.9050859640999995,cell3a.csv,5
9,9,11.6967157836,9.775971054300001,cell3a.csv,4
9,9,7.9301508986,5.4269670655,cell3a.csv,11
9,9,2.1195990818,16.7943228701,cell3a.csv,15
9,9,5.2059384638,4.4398110617,cell3a.csv,18
9,9,5.198057887,19.6515965185,cell3a.csv,23
9,9,6.0588811896,12.319043431599999,cell3a.csv,20
10,10,11.7052012763,9.804216779,cell3a.csv,4
10,10,11.448505413200001,5.8999917459999995,cell3a.csv,5
10,10,7.9433287337000005,5.4348863997,cell3a.csv,11
10,10,6.058976005100001,12.319095385099999,cell3a.csv,20
10,10,2.1258128160000003,16.8014773517,cell3a.csv,15
10,10,5.2398980356000004,4.415299280999999,cell3a.csv,18
10,10,5.1744210991,19.6367127925,cell3a.csv,23
11,11,11.6715214642,9.7901946372,cell3a.csv,4
11,11,11.4430412636,5.9171350982,cell3a.csv,5
11,11,7.938461702100001,5.4073442691,cell3a.csv,11
11,11,6.0572836757,12.3153834397,cell3a.csv,20
11,11,2.1203107463000004,16.7952618258,cell3a.csv,15
11,11,5.1944103181,4.3959513135999995,cell3a.csv,18
11,11,5.1758953703,19.645713290200003,cell3a.csv,23
12,12,11.6641932092,9.792834797400001,cell3a.csv,4
12,12,7.9342934925,5.433624914,cell3a.csv,11
12,12,6.0681375607,12.3386896481,cell3a.csv,20
12,12,5.1800330133,19.647075122700002,cell3a.csv,23
12,12,5.2109344762,4.4434251925,cell3a.csv,18
12,12,2.1239820205,16.8007933497,cell3a.csv,15
13,13,7.9349831833,5.4389474219,cell3a.csv,11
13,13,11.6754737627,9.7656041131,cell3a.csv,4
13,13,11.419254113700001,5.9231057507,cell3a.csv,5
13,13,6.0908354474,12.3460222903,cell3a.csv,20
13,13,5.2489160739,4.4185155143,cell3a.csv,18
13,13,2.1270423299,16.802988289100004,cell3a.csv,15
13,13,5.1649203858,19.6625030691,cell3a.csv,23
14,14,11.682131322200002,9.7577851622,cell3a.csv,4
14,14,2.1133677029999998,16.801235378500003,cell3a.csv,15
14,14,5.275604784,4.4266648736,cell3a.csv,18
14,14,6.1099432404,12.3388645384,cell3a.csv,20
14,14,7.9240405189,5.4290589818,cell3a.csv,11
14,14,5.1769924308999995,19.6556749123,cell3a.csv,23
15,15,11.670012758999999,9.765427537199999,cell3a.csv,4
15,15,7.929417187,5.4273210585,cell3a.csv,11
15,15,11.4253487147,5.908903195300001,cell3a.csv,5
15,15,6.1258633672,12.3331620814,cell3a.csv,20
15,15,2.1115429219,16.797128203200003,cell3a.csv,15
15,15,5.2343577063,4.4068335991000005,cell3a.csv,18
15,15,5.1817647244,19.660746915,cell3a.csv,23
16,16,11.6635948061,9.7762917136,cell3a.csv,4
16,16,11.4267530699,5.8963776712,cell3a.csv,5
16,16,7.9106676478,5.438817386099999,cell3a.csv,11
16,16,6.1220924239,12.3354452367,cell3a.csv,20
16,16,5.1694815238,19.678985454099998,cell3a.csv,23
16,16,5.201947882100001,4.4047268331,cell3a.csv,18
16,16,2.1127777661000002,16.791187002300003,cell3a.csv,15
17,17,11.68156936,9.7489314839,cell3a.csv,4
17,17,7.896287656,5.4264197455000005,cell3a.csv,11
17,17,5.1687122359,19.668703726700002,cell3a.csv,23
17,17,5.249757139700001,4.4319533159,cell3a.csv,18
17,17,2.1288318147,16.7767291586,cell3a.csv,15
17,17,6.125815361400001,12.3149023766,cell3a.csv,20
18,18,11.6797044727,9.768285809700002,cell3a.csv,4
18,18,11.4688430875,5.8851133312,cell3a.csv,5
18,18,5.1647666984,19.663831233600003,cell3a.csv,23
18,18,6.0794378902999995,12.315469653300001,cell3a.csv,20
18,18,2.1380506564000004,16.7558420831,cell3a.csv,15
18,18,5.2419785774,4.4287028193,cell3a.csv,18
19,19,11.688406217699999,9.803528778399999,cell3a.csv,4
19,19,7.9152233177,5.4465172489,cell3a.csv,11
19,19,11.4550112705,5.906648014600001,cell3a.csv,5
19,19,2.1530554092000003,16.762344933100003,cell3a.csv,15
19,19,5.2345728118,4.4290764977,cell3a.csv,18
19,19,5.1590298213,19.668879479300003,cell3a.csv,23
19,19,6.0979372261,12.325929330400001,cell3a.csv,20
20,20,11.4388035022,5.9220742609,cell3a.csv,5
20,20,7.911819906300001,5.4469090837000005,cell3a.csv,11
20,20,11.6968751251,9.8046800893,cell3a.csv,4
20,20,5.1619074684,19.6814984305,cell3a.csv,23
20,20,5.2463660993,4.4193927701,cell3a.csv,18
20,20,2.1424732528,16.784964167800002,cell3a.csv,15
20,20,6.0946316252,12.3232474758,cell3a.csv,20
21,21,11.6813724809,9.7865056226,cell3a.csv,4
21,21,11.4488931915,5.9294539919,cell3a.csv,5
21,21,7.9311402169,5.421806204,cell3a.csv,11
21,21,5.268344889,4.4106624171,cell3a.csv,18
21,21,5.1584210718,19.683036165900003,cell3a.csv,23
21,21,2.1520461143000005,16.7773081876,cell3a.csv,15
21,21,6.1017086619,12.305624831200001,cell3a.csv,20
22,22,11.6730834007,9.7541970131,cell3a.csv,4
22,22,11.4296786821,5.9436640208,cell3a.csv,5
22,22,7.9052961379,5.4362851086,cell3a.csv,11
22,22,6.128460122000001,12.2960988818,cell3a.csv,20
22,22,5.1669796109999995,19.676967026499998,cell3a.csv,23
22,22,5.2544335426,4.402462696100001,cell3a.csv,18
22,22,2.1676540989,16.7812280571,cell3a.csv,15
23,23,7.8975950804,5.4510279472,cell3a.csv,11
23,23,11.4186784336,5.9239465696,cell3a.csv,5
23,23,11.6865832546,9.7719146934,cell3a.csv,4
23,23,2.1419662702,16.755369109800004,cell3a.csv,15
23,23,5.2586540581,4.4053179488,cell3a.csv,18
23,23,5.1736046495000005,19.682697225600002,cell3a.csv,23
23,23,6.089137469000001,12.319070636300001,cell3a.csv,20
24,24,11.6941389783,9.7593328898,cell3a.csv,4
24,24,11.3950430074,5.9135379077,cell3a.csv,5
24,24,7.9182483714,5.428813775,cell3a.csv,11
24,24,6.051779538800001,12.294490061700001,cell3a.csv,20
24,24,2.1335785903,16.7727296087,cell3a.csv,15
24,24,5.268867445400001,4.3814170503,cell3a.csv,18
24,24,5.1630677295,19.6886899891,cell3a.csv,23
25,25,11.6926164732,9.7850569988,cell3a.csv,4
25,25,11.426174512400001,5.9189537084,cell3a.csv,5
25,25,7.9127508859999995,5.4405486527,cell3a.csv,11
25,25,6.0682189937,12.2807923644,cell3a.csv,20
25,25,5.2612615787,4.3745362488,cell3a.csv,18
25,25,5.1460459797,19.684773232700003,cell3a.csv,23
25,25,2.1212481752,16.7870460438,cell3a.csv,15
26,26,11.6909618684,9.7895437924,cell3a.csv,4
26,26,11.4361768295,5.9299711125000005,cell3a.csv,5
26,26,7.9295285637,5.449466397399999,cell3a.csv,11
26,26,6.091537987200001,12.2924381263,cell3a.csv,20
26,26,5.2639594887,4.3982120689,cell3a.csv,18
26,26,5.1589483404,19.704056802,cell3a.csv,23
26,26,2.1391882543,16.7984089614,cell3a.csv,15
27,27,11.712209236000001,9.8090351568,cell3a.csv,4
27,27,11.439810239300002,5.929874655100001,cell3a.csv,5
27,27,7.9321363912,5.4311280041000005,cell3a.csv,11
27,27,6.0976713521,12.289144720800001,cell3a.csv,20
27,27,5.2679876215000006,4.391225705799999,cell3a.csv,18
27,27,5.1483401128,19.6913997272,cell3a.csv,23
27,27,2.1491353228,16.7818993269,cell3a.csv,15
28,28,11.6766424855,9.8035553859,cell3a.csv,4
28,28,11.467860185,5.9386076717,cell3a.csv,5
28,28,7.9314186232,5.4522357773,cell3a.csv,11
28,28,6.0832313754,12.275394579,cell3a.csv,20
28,28,5.283840689100001,4.3832258246,cell3a.csv,18
28,28,5.1437469037,19.668931056599998,cell3a.csv,23
28,28,2.1630280017,16.7894948977,cell3a.csv,15
29,29,11.635446458799999,9.7813601628,cell3a.csv,4
29,29,7.9283159026000005,5.4451798167,cell3a.csv,11
29,29,11.4476722507,5.93827547,cell3a.csv,5
29,29,2.1601048237000002,16.7981296466,cell3a.csv,15
29,29,5.1665703734,19.663550193800003,cell3a.csv,23
29,29,5.2839737571,4.3913825629000005,cell3a.csv,18
29,29,6.093536046600001,12.3114841806,cell3a.csv,20
30,30,11.4411281658,5.942749210500001,cell3a.csv,5
30,30,11.7089985346,9.8208869135,cell3a.csv,4
30,30,6.0821752974,12.320276474800002,cell3a.csv,20
30,30,5.2888850527,4.4528410344000005,cell3a.csv,18
30,30,5.168501106200001,19.6528669855,cell3a.csv,23
30,30,2.1477649798000003,16.7714368645,cell3a.csv,15
30,30,7.9250991483,5.4462968783,cell3a.csv,11
31,31,11.4623066964,5.9260278866,cell3a.csv,5
31,31,7.9213869632,5.4401864593,cell3a.csv,11
31,31,11.7265222457,9.8521104782,cell3a.csv,4
31,31,2.1660041476000003,16.764019482,cell3a.csv,15
31,31,5.3014675684000006,4.3993543535,cell3a.csv,18
31,31,6.0756264487,12.3175545761,cell3a.csv,20
31,31,5.1491938163,19.6729577147,cell3a.csv,23
32,32,7.9435122271,5.4648073523,cell3a.csv,11
32,32,11.7197416181,9.8391287796,cell3a.csv,4
32,32,11.4764001916,5.9470794352,cell3a.csv,5
32,32,2.1690634392000003,16.7590262387,cell3a.csv,15
32,32,5.149255509900001,19.6724623938,cell3a.csv,23
32,32,6.0981290427,12.326265027400002,cell3a.csv,20
32,32,5.2767398524,4.371667953,cell3a.csv,18
33,33,11.7439572918,9.8215784637,cell3a.csv,4
33,33,11.466358727700001,5.943996219200001,cell3a.csv,5
33,33,7.934865060400001,5.455864801800001,cell3a.csv,11
33,33,6.128517303700001,12.2992790166,cell3a.csv,20
33,33,5.1977823276,19.678324609700002,cell3a.csv,23
33,33,5.2833894692,4.3936376894,cell3a.csv,18
33,33,2.1864046985,16.757416816000003,cell3a.csv,15
34,34,11.4534256769,5.9566932966,cell3a.csv,5
34,34,11.7270029337,9.8062047423,cell3a.csv,4
34,34,6.108559161600001,12.3031446435,cell3a.csv,20
34,34,7.9073286102,5.448974495000001,cell3a.csv,11
34,34,5.1813876041,19.674218184500003,cell3a.csv,23
