frame,frame,x,y,file,particle
1,1,15.2669120986,7.980839452100001,cell3b.csv,2
1,1,14.4848390119,6.3372731949,cell3b.csv,3
1,1,13.660802741800001,5.3649295562,cell3b.csv,4
1,1,13.5179886233,11.375204267600001,cell3b.csv,5
1,1,13.375194714400001,18.9629344561,cell3b.csv,6
1,1,13.4938624078,13.07658877,cell3b.csv,10
1,1,7.4119939672,3.7594794616,cell3b.csv,12
1,1,6.3871847416000005,8.8260925586,cell3b.csv,14
1,1,4.1577812194,12.0579707497,cell3b.csv,16
2,2,13.3689574877,18.9833558592,cell3b.csv,6
2,2,13.5079982989,13.0749591373,cell3b.csv,10
2,2,14.5156353439,6.3534328703,cell3b.csv,3
2,2,15.2779705306,7.9611544851,cell3b.csv,2
2,2,13.6658725987,5.344668270600001,cell3b.csv,4
2,2,13.5479509491,11.3710168827,cell3b.csv,5
2,2,4.1386224664,12.0734349515,cell3b.csv,16
2,2,7.4287933402999995,3.735885444,cell3b.csv,12
2,2,6.3953622712,8.8202144819,cell3b.csv,14
3,3,15.3058894971,7.9551104849000005,cell3b.csv,2
3,3,14.5015428995,6.3530112941,cell3b.csv,3
3,3,13.5389523333,11.3697905629,cell3b.csv,5
3,3,13.6343660927,5.3225005432,cell3b.csv,4
3,3,13.4793923639,13.0874032317,cell3b.csv,10
3,3,13.3594260572,18.9885773275,cell3b.csv,6
3,3,7.4121293258,3.7273868046,cell3b.csv,12
3,3,6.3826928907000005,8.8177628779,cell3b.csv,14
3,3,4.1154230122,12.0887249098,cell3b.csv,16
4,4,14.5063891719,6.372453953,cell3b.csv,3
4,4,13.4945328206,11.357031257500001,cell3b.csv,5
4,4,13.4715993014,13.0876876887,cell3b.csv,10
4,4,13.665101956300001,5.2987537279,cell3b.csv,4
4,4,15.300168556500001,7.944181099800001,cell3b.csv,2
4,4,13.351315003600002,18.9949268797,cell3b.csv,6
4,4,4.1008585467000005,12.066539261,cell3b.csv,16
4,4,7.4681611833999995,3.7524848141000002,cell3b.csv,12
4,4,6.3615364424,8.8368565287,cell3b.csv,14
5,5,13.370770624,18.9919134286,cell3b.csv,6
5,5,13.632007734000002,5.2990333591,cell3b.csv,4
5,5,13.460053112199999,13.094733638600001,cell3b.csv,10
5,5,14.5056596344,6.3861619834,cell3b.csv,3
5,5,15.2689691309,7.9280109768,cell3b.csv,2
5,5,13.4979118255,11.3604441431,cell3b.csv,5
5,5,7.472817663300001,3.7610154134,cell3b.csv,12
5,5,6.3888366414,8.8234343723,cell3b.csv,14
5,5,4.1020943994,12.080482811600001,cell3b.csv,16
6,6,13.3542439325,18.9854921728,cell3b.csv,6
6,6,13.4738437722,13.077720620300001,cell3b.csv,10
6,6,13.6379498393,5.3246403435000005,cell3b.csv,4
6,6,14.5025374966,6.3887614255,cell3b.csv,3
6,6,15.2627763572,7.945402387400001,cell3b.csv,2
6,6,13.5095209779,11.3805482929,cell3b.csv,5
6,6,4.1129048992,12.090809901,cell3b.csv,16
6,6,6.3838332718,8.8275958163,cell3b.csv,14
6,6,7.454705189399999,3.7938751256,cell3b.csv,12
7,7,15.2671376625,7.947838326,cell3b.csv,2
7,7,14.514189064100002,6.3864560702,cell3b.csv,3
7,7,13.6409540077,5.319635227,cell3b.csv,4
7,7,13.4448820623,13.0786953898,cell3b.csv,10
7,7,13.3478563738,18.9668345441,cell3b.csv,6
7,7,4.1220873970000005,12.0880221514,cell3b.csv,16
7,7,7.463836301500001,3.8004062265,cell3b.csv,12
7,7,6.391567617300001,8.823404936000001,cell3b.csv,14
8,8,14.4903471734,6.379302839,cell3b.csv,3
8,8,13.6402747784,5.3272868958999995,cell3b.csv,4
8,8,13.4508945618,13.0872282831,cell3b.csv,10
8,8,13.3659421669,18.9662150305,cell3b.csv,6
8,8,15.270798891300002,7.9501239101,cell3b.csv,2
8,8,7.4423561204999995,3.7910560728,cell3b.csv,12
8,8,4.0945864473,12.1030589576,cell3b.csv,16
9,9,13.3620881746,18.971053628900002,cell3b.csv,6
9,9,13.602659777000001,5.334493294900001,cell3b.csv,4
9,9,14.473904970800001,6.3902810762,cell3b.csv,3
